id,score,up_vote_count,down_vote_count,answers_count,view_count,is_answered
79833901,1,1,0,2,90,True
79834065,1,0,0,2,72,True
79835358,0,0,0,6,94,True
79835416,0,1,1,2,126,False
79835521,-8,0,8,1,134,True
79835988,1,2,1,1,91,True
79836733,0,1,1,2,104,True
79837033,0,0,0,2,114,True
79837102,0,0,0,1,164,True
79837206,0,1,1,1,117,True
79838006,3,3,0,1,103,True
79838144,0,0,0,1,70,True
79838278,0,0,0,0,17,False
79838609,0,0,0,3,46,True
79839016,0,0,0,1,101,False
79839226,0,0,0,0,69,False
79839460,1,1,0,2,83,True
79839469,0,1,1,5,350,True
79840539,-1,0,1,0,28,False
79841070,0,0,0,1,65,False
79841348,-5,0,5,0,100,False
79841501,0,0,0,8,130,True
79841768,3,3,0,2,151,True
79841911,1,0,0,5,84,True
79842271,5,5,0,3,124,True
79842407,-1,0,1,0,98,False
79842915,0,1,1,2,112,True
79842990,0,0,0,0,75,False
79843330,1,2,1,2,154,True
79843802,-3,0,3,1,143,True
79844954,0,0,0,1,65,False
79844959,2,2,0,2,115,True
79846390,1,1,0,3,179,True
79847000,-1,1,2,1,114,True
79847129,-2,1,3,1,175,True
79848545,-1,0,1,0,113,False
79848658,-1,0,1,1,127,True
79848896,2,2,0,2,166,True
79848914,1,0,0,4,82,True
79849335,0,0,0,8,89,True
79849398,2,2,0,1,108,False
79850312,2,2,0,1,71,True
79850545,-2,0,2,0,30,False
79850577,1,1,0,0,78,False
79850581,0,0,0,8,61,True
79851291,0,0,0,2,114,True
79851461,3,3,0,2,136,True
79851735,0,2,2,1,212,True
79852159,0,0,0,4,77,False
79852308,1,1,0,1,106,True
79852398,1,1,0,1,65,False
79853487,2,2,0,1,40,True
79853766,2,2,0,3,116,True
79853954,0,1,1,1,78,True
79854081,3,3,0,1,62,True
79854149,3,3,0,1,89,True
79854159,0,0,0,1,58,False
79854842,0,1,1,1,60,True
79854966,0,0,0,3,67,True
79855026,2,2,0,1,121,False
79681731,2,2,0,2,136,True
79681749,1,1,0,1,54,True
79682047,-2,1,3,1,112,True
79682321,0,0,0,1,80,True
79682355,4,5,1,1,142,True
79682530,0,0,0,0,77,False
79682704,1,1,0,1,195,True
79682969,0,0,0,0,43,False
79683892,0,0,0,1,173,True
79683899,2,2,0,4,583,True
79683923,2,2,0,3,77,True
79684344,0,0,0,1,46,True
79684449,0,0,0,2,81,True
79684960,1,1,0,1,76,True
79685161,0,0,0,0,99,False
79685195,0,0,0,2,71,True
79685280,1,2,1,1,1122,False
79686134,1,1,0,1,80,False
79687130,0,0,0,0,44,False
79687140,0,0,0,0,54,False
79688106,1,1,0,2,66,True
79688150,3,3,0,2,109,True
79688301,0,0,0,0,81,False
79688989,1,1,0,1,80,True
79689016,0,0,0,1,55,False
79689783,1,1,0,1,249,True
79690550,0,2,2,2,162,True
79690717,0,0,0,0,79,False
79692177,0,0,0,0,38,False
79692355,-1,0,1,1,501,False
79692703,0,0,0,0,92,False
79692938,1,1,0,2,122,True
79693444,3,3,0,2,99,True
79693600,2,2,0,2,79,True
79693816,0,0,0,1,444,True
79693948,2,2,0,2,603,True
79694578,0,0,0,0,57,False
79695510,0,0,0,0,47,False
79695526,0,0,0,0,29,False
79695994,0,0,0,0,238,False
79696122,0,0,0,0,118,False
79697286,3,3,0,0,100,False
79697557,-1,0,1,1,67,False
79698322,0,1,1,1,94,False
79698383,0,0,0,1,197,False
79699931,3,4,1,2,177,True
79701104,0,0,0,1,81,False
79701246,2,2,0,4,182,True
79701641,-2,0,2,1,93,True
79702140,0,0,0,1,59,True
79702285,1,1,0,2,197,True
79702717,2,2,0,2,87,True
79702867,-1,1,2,3,1036,True
79703388,0,0,0,1,90,True
79703499,0,0,0,0,50,False
79704987,1,1,0,1,114,True
79705221,1,1,0,2,107,False
79705615,0,0,0,1,145,True
79705869,0,0,0,4,128,True
79707789,1,2,1,1,73,True
79708564,0,0,0,1,126,True
79709133,0,0,0,1,69,True
79709658,2,2,0,0,329,False
79709712,0,0,0,1,159,True
79711835,1,1,0,1,77,True
79711840,0,0,0,0,50,False
79711921,3,3,0,3,120,True
79712336,0,0,0,1,84,True
79712364,0,0,0,1,64,False
79712748,1,1,0,1,68,True
79713003,0,1,1,2,135,True
79713329,4,4,0,2,129,True
79713632,0,0,0,0,36,False
79714471,0,0,0,1,102,False
79714539,0,0,0,2,126,False
79714668,1,1,0,1,186,True
79715514,0,0,0,0,74,False
79715575,0,1,1,2,146,False
79717133,-1,0,1,2,138,True
79717514,0,0,0,0,76,False
79717954,1,1,0,1,53,True
79718323,1,1,0,1,121,False
79718500,0,2,2,3,222,True
79718607,0,0,0,1,100,False
79718709,-1,0,1,0,166,False
79718748,2,2,0,1,128,True
79718887,0,0,0,1,115,False
79719154,2,2,0,1,66,True
79719836,1,1,0,1,125,True
79720297,4,4,0,1,178,True
79721483,2,2,0,1,118,True
79721866,0,0,0,1,97,True
79721893,3,5,2,2,183,True
79722524,2,2,0,2,222,True
79722528,0,0,0,1,59,True
79722656,0,1,1,2,89,True
79722820,0,0,0,1,121,False
79723451,0,0,0,1,93,True
79723686,1,1,0,1,228,True
79724928,0,0,0,1,106,True
79725198,0,1,1,1,98,False
79725454,0,0,0,0,244,False
79725806,0,0,0,1,48,True
79726186,1,1,0,1,139,False
79726283,0,0,0,0,70,False
79726943,0,1,1,1,109,True
79727094,2,2,0,0,127,False
79727814,1,1,0,2,418,True
