id,rating,location
12940601,79,
13090719,71,
12367620,61,United States
12591556,57,"London, UK"
13667729,46,Earth
13904658,46,
13255966,45,"Dhaka, Bangladesh"
12749540,33,
13968392,2127,
14041392,1954,"Quezon Province, Philippines"
15435022,1357,
14551577,654,
14459522,443,
14962228,401,
14305251,379,"Paris, France"
15136864,310,"Katowice, Polska"
14914853,121,"Sylhet, Bangladesh"
14124751,117,
15027137,93,
14478298,78,
14451585,77,
15084061,67,
15220892,65,
13988248,61,Italy
14882293,61,
15232938,61,
14375437,59,
14673556,59,"Coimbatore, Tamil Nadu, India"
15232943,59,
14195596,57,
14823472,53,Syria
15005274,51,
14396396,47,Polang
14017449,41,
14334817,41,"Cardiff, UK"
14116433,33,
14456870,31,
13948791,23,"Austin, TX, USA"
17218429,7254,
17089291,621,
16320430,435,Tanzania
16063304,221,
17131804,221,
16029814,143,
15762880,139,
15983262,119,
17161228,107,
16808223,97,
16735583,96,
17106708,71,
16599493,63,
16753548,63,India
16193835,55,
16997930,53,
16229462,45,
15445261,43,
16731543,41,
15992045,37,
16365326,33,
16967557,31,
16018798,29,
15568887,27,
16817823,27,"New York, NY, USA"
15753749,23,
15633902,21,Tehran - Iran
15945535,21,Palestine
16187031,21,
16835244,21,
17537072,2429,Colombia
18554369,2217,
17685806,1637,Planet Earth
18159572,1209,
17614576,436,"Kyiv, Ukraine"
17846979,343,
18586873,334,
17346443,324,
17317410,206,
17259466,159,
17965846,155,
18293772,131,"MT, United States"
17981284,118,
19084192,112,
17866323,109,
17629737,103,
17446939,85,Russia
18347948,77,
17786412,67,
17824494,67,Ireland
18148586,61,
17581716,51,
18588777,51,
18278801,49,Russia
19328469,39,
17916903,35,
19315674,35,
17783052,29,"Karnataka, India"
17700043,23,
17499061,21,
20263044,1360,
20906397,482,California
20839852,427,your moms bedroom
19629592,229,
19659058,151,
20240707,144,
19453035,129,
20903742,104,
20265378,85,
19773284,83,Germany
19875313,69,
20176201,67,Gia Lai-Việt Nam
20981111,65,
19640317,59,
20866297,55,"Sydney, Australia"
20543172,49,
20377292,39,
19358412,37,
19758505,37,
20492635,37,
20983123,33,
20212947,27,
21029891,27,
20929534,23,
19485612,21,
19524898,21,
20064390,21,
20135187,21,
20613378,21,
20025580,19,
22638257,496,
21494710,274,"Colombo, SL"
21316640,254,
21102187,248,Brazil
22271956,144,
22272977,143,
22007794,92,Pakistan
21518887,85,
22722326,75,
22126079,67,
21642986,63,Belgium
21440119,53,
22811437,45,
22131651,41,
22442419,41,
21529621,37,第二红岸基地
22092377,31,
22765093,29,
22701356,25,
22809135,25,
22364991,23,
22786821,23,
21098120,21,
21314431,21,
21533009,19,Singapore
22177234,19,india
21804935,17,
22510933,13,
21204623,11,
21662604,11,
23512643,6855,
22851958,114,
23400318,97,
23598941,89,
23873959,81,
23593613,79,
23120423,55,
23075832,53,
23178679,51,
23332429,47,
23896719,45,"Goi&#226;nia, Goi&#225;s - Brasil"
23059744,41,
23370832,41,
24003111,39,
24883464,37,
23093624,33,
23889783,23,
24826231,23,
23117925,21,
23473660,21,
23305162,19,
23592847,19,
23023095,15,
23253271,15,
23392679,15,
23659551,13,
24286848,13,
23177910,11,
24872728,11,
24472210,9,
25493371,1391,
25886068,189,
27964927,132,
25474027,107,
26968350,79,
24888000,65,
26533539,63,
26135876,55,
25312006,51,
27593330,51,
26631237,45,Viet Nam
28098810,45,
26411637,43,
26559755,43,
26867731,41,
24887874,37,
28397583,35,
26430106,33,
25618935,31,
26379245,31,
26650329,31,
27358891,27,
28146417,23,
26564077,21,
25560525,19,
26590820,19,
27323756,19,
25956179,18,
24968068,13,
24926800,11,
29935472,291,
29465844,142,Hong Kong
29480124,135,
29282840,131,
30573484,114,
28698620,101,
29872478,93,
28516124,89,
28821514,89,
29071226,54,
29738716,47,
29276834,33,
30547358,33,
28535186,31,Brasil
28856060,31,
30452259,31,
29417292,23,
30097622,23,earth
28884281,21,
30636598,21,
29055850,19,Manchester UK
30306188,19,"Depok, Kota Depok, Jawa Barat, Indonesia"
29863426,13,
30359096,13,
30410699,13,
28534867,11,
30076223,11,
30487101,11,
29545498,10,
30140016,9,
31173361,157,
30985469,61,
31003935,51,
30849885,41,
30907777,41,
31186206,41,
31123186,33,
31011927,31,Rotterdam
30988813,27,
31064543,23,
31067324,23,
30978356,21,
30999422,21,
31011946,21,
31018601,21,
31069978,21,
31104263,21,
31180361,21,
30849230,19,
30931524,19,
30676690,17,
31002087,13,
31047070,13,
30848174,11,
30959676,11,
30992996,11,
31209924,11,
30872427,10,
31127060,3,
30826480,1,
31510249,94,
31571439,67,
31553892,55,
31245684,53,Brazil
31500636,43,
31569631,43,
31259988,41,
31478792,33,
31647154,33,
31426125,31,
31420696,23,
31461593,23,
31247329,21,
31275014,21,
31316051,21,
31496851,21,
31598049,21,
31645448,21,
31678955,21,
31525243,19,
31234800,13,
31658981,13,
31330011,11,
31398660,11,
31678548,11,
31481891,3,"India,Delhi"
31518488,3,
31374417,1,
31378419,1,
31394875,1,
31802849,63,
31749517,61,
31836437,53,
31884740,43,
31952442,41,
32001271,37,
32006481,33,
31821897,31,
31848846,29,
31767397,23,
31916523,23,
31729609,21,
31731133,21,
31766313,21,
31955087,21,
31721459,19,
31735217,15,
31873402,11,
31888092,11,
31890544,11,
31893715,11,
31918491,11,
31946364,11,
31997781,11,
31703127,9,Portugal
31746931,9,
31921617,9,
31759654,3,
31997905,3,
31710185,1,
32030135,31,
32090566,23,
32065523,11,
32090968,11,
32091931,9,
32051267,7,
32026814,1,
32030466,1,
32040109,1,
32061251,1,Surat-India
32081003,1,
32088018,1,
32102950,1,
